Session;UAI;nom_etab;nom_com;nom_dept;acad;Secteur;Nb_candidats_G;Taux_reussite_G;VA_taux_reussite_G;Nb_candidats_P;Taux_de_reussite_P;Note_ecrit_G;VA_de_la_note_G;Note_ecrit_P;Taux_acces_6eme_3eme;Part_presents_3eme_ordinaire_Total;Part_presents_3eme_ordinaire_G;Part_presents_3eme_ordinaire_P;Part_presents_3eme_Segpa_Total;Nb_mentions_AB_G;Nb_mentions_B_G;Nb_mentions_TB_G;Nb_mentions_global_G
2023;0010005A;COLLEGE_ROGER_POULNARD;BAGE_DOMMARTIN;AIN;LYON;PU;127;93.0;-2.0;None;None;12.4;0.3;None;95.0;98.0;None;None;None;20;31;50;101
2023;0010042R;COLLEGE_BEL_AIR;THOISSEY;AIN;LYON;PU;131;92.0;-2.0;None;None;11.9;0.4;None;95.0;96.0;None;None;None;29;34;42;105
2023;0010046V;COLLEGE_DU_RENON;VONNAS;AIN;LYON;PU;83;93.0;2.0;None;None;11.8;0.5;None;97.0;100.0;None;None;None;16;25;21;62
2023;0010794H;COLLEGE_DU_VALROMEY;ARTEMARE;AIN;LYON;PU;67;84.0;-9.0;None;None;11.5;0.4;None;92.0;99.0;None;None;None;11;16;19;46
2023;0010796K;COLLEGE_EMILE_CIZAIN;MONTLUEL;AIN;LYON;PU;126;96.0;3.0;6;67.0;11.9;0.5;9.6;95.0;96.0;None;None;None;33;31;26;90
2023;0010821M;COLLEGE_EUGENE_DUBOIS;CHATILLON_SUR_CHALARONNE;AIN;LYON;PU;137;88.0;-6.0;None;None;11.9;0.1;None;93.0;100.0;None;None;None;21;41;34;96
2023;0010896U;COLLEGE_INTERNATIONAL;FERNEY_VOLTAIRE;AIN;LYON;PU;260;90.0;-7.0;None;None;12.9;-0.3;None;83.0;88.0;None;None;None;51;57;107;215
2023;0011142L;COLLEGE_MARCEL_AYME;DAGNEUX;AIN;LYON;PU;126;91.0;-2.0;None;None;11.8;0.0;None;93.0;98.0;None;None;None;19;30;32;81
2023;0011257L;COLLEGE_DE_LA_DOMBES;SAINT_ANDRE_DE_CORCY;AIN;LYON;PU;143;88.0;-8.0;None;None;12.7;0.1;None;90.0;99.0;None;None;None;27;32;54;113
2023;0011300H;COLLEGE_DE_LA_PLAINE_DE_L'AIN;LEYMENT;AIN;LYON;PU;145;97.0;0.0;None;None;13.3;0.2;None;95.0;97.0;None;None;None;34;44;49;127
2023;0020011B;COLLEGE_FRANCOIS_TRUFFAUT;CHARLY_SUR_MARNE;AISNE;AMIENS;PU;187;86.0;-5.0;None;None;10.6;-0.4;None;96.0;98.0;None;None;None;36;30;55;121
2023;0020015F;COLLEGE_JACQUES_CARTIER;CHAUNY;AISNE;AMIENS;PU;127;91.0;-1.0;None;None;12.6;1.4;None;93.0;95.0;None;None;None;24;33;40;97
2023;0020017H;COLLEGE_LEOPOLD_SENGHOR;CORBENY;AISNE;AMIENS;PU;63;83.0;-8.0;None;None;11.4;0.8;None;96.0;91.0;None;None;None;12;7;25;44
2023;0020038F;COLLEGE_JOSEPH_BOURY;NEUILLY_ST_FRONT;AISNE;AMIENS;PU;96;79.0;-8.0;None;None;10.0;0.0;None;96.0;100.0;None;None;None;18;22;20;60
2023;0020055Z;COLLEGE_GABRIEL_HANOTAUX;SAINT_QUENTIN;AISNE;AMIENS;PU;83;87.0;-3.0;16;69.0;11.7;1.3;7.4;78.0;98.0;None;None;56.0;14;22;24;60
2023;0020075W;COLLEGE_GEORGES_COBAST;HIRSON;AISNE;AMIENS;PU;86;73.0;-9.0;6;17.0;10.3;0.5;4.7;88.0;95.0;None;None;40.0;13;11;18;42
2023;0021491K;COLLEGE_MAURICE_WAJSFELNER;CUFFIES;AISNE;AMIENS;PU;86;86.0;-5.0;10;20.0;11.6;0.6;7.9;94.0;99.0;None;None;None;17;14;29;60
2023;0021535H;COLLEGE_LAMARTINE;SOISSONS;AISNE;AMIENS;PU;94;81.0;-9.0;None;None;10.2;-0.6;None;90.0;100.0;None;None;None;21;17;26;64
2023;0021661V;COLLEGE_VILLARD_DE_HONNECOURT;FRESNOY_LE_GRAND;AISNE;AMIENS;PU;72;85.0;-2.0;6;83.0;11.0;1.1;10.2;93.0;100.0;None;None;None;14;13;18;45
2023;0021691C;COLLEGE_SAINT_JUST;SOISSONS;AISNE;AMIENS;PU;127;89.0;-3.0;None;None;11.8;0.6;None;90.0;98.0;None;None;None;21;37;40;98
2023;0021721K;COLLEGE_CHARLES_BRAZIER;CRECY_SUR_SERRE;AISNE;AMIENS;PU;69;87.0;-6.0;None;None;11.4;-0.1;None;94.0;96.0;None;None;None;13;16;20;49
2023;0030002L;COLLEGE_JEAN_ROSTAND;BELLERIVE_SUR_ALLIER;ALLIER;CLERMONT-FERRAND;PU;79;86.0;None;None;None;11.1;None;None;97.0;91.0;None;None;None;15;19;26;60
2023;0030013Y;COLLEGE_LOUIS_PERGAUD;DOMPIERRE_SUR_BESBRE;ALLIER;CLERMONT-FERRAND;PU;68;99.0;5.0;None;None;12.2;0.3;None;93.0;96.0;None;None;None;12;19;28;59
2023;0030119N;COLLEGE_JULES_VERNE;MONTLUCON;ALLIER;CLERMONT-FERRAND;PU;33;100.0;7.0;6;83.0;12.0;0.7;8.9;85.0;97.0;None;None;None;5;9;14;28
2023;0030892D;COLLEGE_BLAISE_DE_VIGENERE;SAINT_POURCAIN_SUR_SIOULE;ALLIER;CLERMONT-FERRAND;PU;105;86.0;-6.0;None;None;10.4;-0.6;None;96.0;100.0;None;None;None;25;24;18;67
2023;0030956Y;COLLEGE_LOUIS_ARAGON;DOMERAT;ALLIER;CLERMONT-FERRAND;PU;68;97.0;4.0;None;None;11.8;0.6;None;95.0;97.0;None;None;None;21;20;18;59
2023;0040044B;COLLEGE_MARIA_BORRELY;DIGNE_LES_BAINS;ALPES-DE-HTE-PROVENCE;AIX-MARSEILLE;PU;83;84.0;-6.0;None;None;10.7;-0.2;None;94.0;93.0;None;None;None;19;12;24;55
2023;0040052K;COLLEGE_CAMILLE_REYMOND;CHATEAU_ARNOUX_ST_AUBAN;ALPES-DE-HTE-PROVENCE;AIX-MARSEILLE;PU;148;91.0;-1.0;None;None;10.4;-0.7;None;94.0;99.0;None;None;None;39;30;30;99
2023;0040055N;COLLEGE_JEAN_GIONO;MANOSQUE;ALPES-DE-HTE-PROVENCE;AIX-MARSEILLE;PU;120;87.0;-3.0;26;73.0;9.4;-1.2;6.4;94.0;98.0;None;None;88.0;20;31;20;71
2023;0040419J;COLLEGE_ANDRE_HONNORAT;BARCELONNETTE;ALPES-DE-HTE-PROVENCE;AIX-MARSEILLE;PU;84;86.0;-7.0;None;None;10.3;-1.0;None;91.0;99.0;None;None;None;17;19;20;56
2023;0040420K;COLLEGE_PAUL_ARENE;SISTERON;ALPES-DE-HTE-PROVENCE;AIX-MARSEILLE;PU;119;93.0;0.0;None;None;11.4;-0.2;None;95.0;98.0;None;None;None;23;40;18;81
